sex	decade	pct	name
F	1880	6.983	Mary
F	1880	2.907	Anna
F	1880	1.935	Emma
F	1880	1.905	Elizabeth
F	1880	1.655	Minnie
F	1880	1.661	Margaret
F	1880	1.393	Ida
F	1880	1.306	Alice
F	1880	1.391	Bertha
F	1880	1.121	Sarah
F	1880	1.297	Annie
F	1880	1.350	Clara
F	1880	1.062	Ella
F	1880	1.272	Florence
F	1880	0.911	Cora
F	1880	1.060	Martha
F	1880	0.976	Laura
F	1880	1.048	Nellie
F	1880	1.160	Grace
F	1880	0.953	Carrie
F	1880	0.873	Maude
F	1880	0.998	Mabel
F	1880	1.171	Bessie
F	1880	0.779	Jennie
F	1880	0.846	Gertrude
F	1880	0.747	Julia
F	1880	0.777	Hattie
F	1880	0.829	Edith
F	1880	0.750	Mattie
F	1880	0.843	Rose
F	1880	0.679	Catherine
F	1880	0.859	Lillian
F	1880	0.642	Ada
F	1880	0.721	Lillie
F	1880	0.876	Helen
F	1880	0.700	Jessie
F	1880	0.731	Louise
F	1880	1.132	Ethel
F	1880	0.677	Lula
F	1880	0.744	Myrtle
F	1880	0.747	Eva
F	1880	0.699	Frances
F	1880	0.662	Lena
F	1880	0.573	Lucy
F	1880	0.839	Edna
F	1880	0.539	Maggie
F	1880	0.831	Pearl
F	1880	0.461	Daisy
F	1880	0.573	Fannie
F	1880	0.589	Josephine
F	1880	0.555	Dora
F	1880	0.469	Rosa
F	1880	0.527	Katherine
F	1880	0.551	Agnes
F	1880	0.647	Marie
F	1880	0.497	Nora
F	1880	0.448	May
F	1880	0.482	Mamie
F	1880	0.528	Blanche
F	1880	0.467	Stella
F	1880	0.412	Ellen
F	1880	0.365	Nancy
F	1880	0.446	Effie
F	1880	0.369	Sallie
F	1880	0.405	Nettie
F	1880	0.385	Della
F	1880	0.384	Lizzie
F	1880	0.320	Flora
F	1880	0.364	Susie
F	1880	0.320	Maud
F	1880	0.430	Mae
F	1880	0.303	Etta
F	1880	0.257	Harriet
F	1880	0.374	Sadie
F	1880	0.285	Caroline
F	1880	0.298	Katie
F	1880	0.297	Lydia
F	1880	0.506	Elsie
F	1880	0.243	Kate
F	1880	0.246	Susan
F	1880	0.264	Mollie
F	1880	0.395	Alma
F	1880	0.285	Addie
F	1880	0.270	Georgia
F	1880	0.217	Eliza
F	1880	0.248	Lulu
F	1880	0.241	Nannie
F	1880	0.296	Lottie
F	1880	0.250	Amanda
F	1880	0.202	Belle
F	1880	0.252	Charlotte
F	1880	0.217	Rebecca
F	1880	0.404	Ruth
F	1880	0.290	Viola
F	1880	0.263	Olive
F	1880	0.225	Amelia
F	1880	0.189	Hannah
F	1880	0.226	Jane
F	1880	0.225	Virginia
F	1880	0.257	Emily
F	1880	0.193	Matilda
F	1880	0.305	Irene
F	1880	0.250	Kathryn
F	1880	0.265	Esther
F	1880	0.259	Willie
F	1880	0.189	Henrietta
F	1880	0.216	Ollie
